Source,Target,Type,ID,Label,Weighted
1,1,Undirected,1,,1
1,2,Undirected,2,,0.71101105
1,3,Undirected,3,,0.893719454
1,4,Undirected,4,,0.785768473
1,5,Undirected,5,,0.768747273
1,6,Undirected,6,,0.939562194
1,7,Undirected,7,,0.943213287
1,8,Undirected,8,,0.829300608
1,9,Undirected,9,,0.941478626
1,10,Undirected,10,,0.60791094
1,11,Undirected,11,,0.540777075
1,12,Undirected,12,,0.637648131
1,13,Undirected,13,,0.456570673
1,14,Undirected,14,,0.681866547
1,15,Undirected,15,,0.570222657
1,16,Undirected,16,,0.766991674
1,17,Undirected,17,,0.936521482
1,18,Undirected,18,,0.801598068
1,19,Undirected,19,,0.877613906
1,20,Undirected,20,,0.885267525
1,21,Undirected,21,,0.878534801
1,22,Undirected,22,,0.692639825
1,23,Undirected,23,,0.802262985
1,24,Undirected,24,,0.680556167
1,25,Undirected,25,,0.893352157
1,26,Undirected,26,,0.847284095
1,27,Undirected,27,,0.632390836
1,28,Undirected,28,,0.776385916
1,29,Undirected,29,,0.868320034
1,30,Undirected,30,,0.803543075
1,31,Undirected,31,,0.886970665
1,32,Undirected,32,,0.75085734
1,33,Undirected,33,,0.615151559
1,34,Undirected,34,,0.692275041
1,35,Undirected,35,,0.689613254
1,36,Undirected,36,,0.878869233
1,37,Undirected,37,,0.741478042
1,38,Undirected,38,,0.548448594
1,39,Undirected,39,,0.731772361
1,40,Undirected,40,,0.584197904
1,41,Undirected,41,,0.443176536
1,42,Undirected,42,,0.412746789
1,43,Undirected,43,,0.620652905
1,44,Undirected,44,,0.504411741
1,45,Undirected,45,,0.37009163
1,46,Undirected,46,,0.403119529
1,47,Undirected,47,,0.40532309
1,48,Undirected,48,,0.788465073
1,49,Undirected,49,,0.638686369
1,50,Undirected,50,,0.538194259
1,51,Undirected,51,,0.422394973
1,52,Undirected,52,,0.538143141
1,53,Undirected,53,,0.733176787
1,54,Undirected,54,,0.794242708
1,55,Undirected,55,,0.625811531
1,56,Undirected,56,,0.878363728
1,57,Undirected,57,,0.873676984
1,58,Undirected,58,,0.771412439
1,59,Undirected,59,,0.877390513
1,60,Undirected,60,,0.854820104
1,61,Undirected,61,,0.884331897
1,62,Undirected,62,,0.775093058
1,63,Undirected,63,,0.714412021
1,64,Undirected,64,,0.76709608
1,65,Undirected,65,,0.857901796
1,66,Undirected,66,,0.948259603
1,67,Undirected,67,,0.901870353
1,68,Undirected,68,,0.932004764
1,69,Undirected,69,,0.737073889
1,70,Undirected,70,,0.674393986
1,71,Undirected,71,,0.836729616
1,72,Undirected,72,,0.627118255
1,73,Undirected,73,,0.698635213
1,74,Undirected,74,,0.766615224
1,75,Undirected,75,,0.578486049
1,76,Undirected,76,,0.521344404
1,77,Undirected,77,,0.445889899
1,78,Undirected,78,,0.588294717
1,79,Undirected,79,,0.872483928
1,80,Undirected,80,,0.883249897
1,81,Undirected,81,,0.858620715
1,82,Undirected,82,,0.942531113
1,83,Undirected,83,,0.86286628
1,84,Undirected,84,,0.863976942
1,85,Undirected,85,,0.889482804
1,86,Undirected,86,,0.724853133
1,87,Undirected,87,,0.750514481
1,88,Undirected,88,,0.81926688
1,89,Undirected,89,,0.738021812
1,90,Undirected,90,,0.905602685
1,91,Undirected,91,,0.635671684
1,92,Undirected,92,,0.571104639
1,93,Undirected,93,,0.725799972
1,94,Undirected,94,,0.461276172
1,95,Undirected,95,,0.41458027
1,96,Undirected,96,,0.379314875
1,97,Undirected,97,,0.348572446
1,98,Undirected,98,,0.372300683
1,99,Undirected,99,,0.438642266
1,100,Undirected,100,,0.477338923
1,101,Undirected,101,,0.511326865
1,102,Undirected,102,,0.670361082
1,103,Undirected,103,,0.485528181
1,104,Undirected,104,,0.437419882
1,105,Undirected,105,,0.557525277
1,106,Undirected,106,,0.430387274
1,107,Undirected,107,,0.607550803
1,108,Undirected,108,,0.585315915
1,109,Undirected,109,,0.764299103
1,110,Undirected,110,,0.538174514
1,111,Undirected,111,,0.659905153
1,112,Undirected,112,,0.574539052
1,113,Undirected,113,,0.43363747
1,114,Undirected,114,,0.565867341
1,115,Undirected,115,,0.758292982
1,116,Undirected,116,,0.625811426
1,117,Undirected,117,,0.786816794
1,118,Undirected,118,,0.440633163
1,119,Undirected,119,,0.387016643
