Source,Target,Type,ID,Label,Weight
1,1,Undirected,1,,1
2,1,Undirected,2,,0.849932715
3,1,Undirected,3,,0.882211081
4,1,Undirected,4,,0.881760872
5,1,Undirected,5,,0.866501876
6,1,Undirected,6,,0.680166026
7,1,Undirected,7,,0.569997566
8,1,Undirected,8,,0.712535008
9,1,Undirected,9,,0.770525059
10,1,Undirected,10,,0.878217177
11,1,Undirected,11,,0.922876125
12,1,Undirected,12,,0.910703036
13,1,Undirected,13,,0.680382552
14,1,Undirected,14,,0.742469547
15,1,Undirected,15,,0.641788136
16,1,Undirected,16,,0.54416011
17,1,Undirected,17,,0.755334088
18,1,Undirected,18,,0.930161922
19,1,Undirected,19,,0.83889092
20,1,Undirected,20,,0.922149471
21,1,Undirected,21,,0.60222692
22,1,Undirected,22,,0.73752481
23,1,Undirected,23,,0.530217217
24,1,Undirected,24,,0.409721291
25,1,Undirected,25,,0.529709387
26,1,Undirected,26,,0.484510156
27,1,Undirected,27,,0.720363005
28,1,Undirected,28,,0.36714421
29,1,Undirected,29,,0.51341642
30,1,Undirected,30,,0.358110189
1,2,Undirected,31,,0.849932715
2,2,Undirected,32,,1
3,2,Undirected,33,,0.954966089
4,2,Undirected,34,,0.738412356
5,2,Undirected,35,,0.910676235
6,2,Undirected,36,,0.825191843
7,2,Undirected,37,,0.710866198
8,2,Undirected,38,,0.861254381
9,2,Undirected,39,,0.625971559
10,2,Undirected,40,,0.746572489
11,2,Undirected,41,,0.786471861
12,2,Undirected,42,,0.8932571
13,2,Undirected,43,,0.533712059
14,2,Undirected,44,,0.593352604
15,2,Undirected,45,,0.498651637
16,2,Undirected,46,,0.684595445
17,2,Undirected,47,,0.867766751
18,2,Undirected,48,,0.881013555
19,2,Undirected,49,,0.933543964
20,2,Undirected,50,,0.774455441
21,2,Undirected,51,,0.733244878
22,2,Undirected,52,,0.855762692
23,2,Undirected,53,,0.666297655
24,2,Undirected,54,,0.550185312
25,2,Undirected,55,,0.673426441
26,2,Undirected,56,,0.628784051
27,2,Undirected,57,,0.86237924
28,2,Undirected,58,,0.506393316
29,2,Undirected,59,,0.646243925
30,2,Undirected,60,,0.497455807
1,3,Undirected,61,,0.882211081
2,3,Undirected,62,,0.954966089
3,3,Undirected,63,,1
