Source,Target,Type,ID,Label,Weighted
1,1,Undirected,1,,1
1,2,Undirected,2,,0.744127843
1,3,Undirected,3,,0.905898712
1,4,Undirected,4,,0.810318412
1,5,Undirected,5,,0.949720781
1,6,Undirected,6,,0.652842528
1,7,Undirected,7,,0.593401892
1,8,Undirected,8,,0.718323165
1,9,Undirected,9,,0.943795826
1,10,Undirected,10,,0.824334009
1,11,Undirected,11,,0.891638785
1,12,Undirected,12,,0.727861875
1,13,Undirected,13,,0.905573505
1,14,Undirected,14,,0.864784629
1,15,Undirected,15,,0.883409947
1,16,Undirected,16,,0.779407934
1,17,Undirected,17,,0.659253406
1,18,Undirected,18,,0.727538894
1,19,Undirected,19,,0.725182135
1,20,Undirected,20,,0.600194291
1,21,Undirected,21,,0.506985922
1,22,Undirected,22,,0.480043283
1,23,Undirected,23,,0.442276207
1,24,Undirected,24,,0.812705994
1,25,Undirected,25,,0.680091236
1,26,Undirected,26,,0.591115055
1,27,Undirected,27,,0.76375349
1,28,Undirected,28,,0.892302681
1,29,Undirected,29,,0.888153016
1,30,Undirected,30,,0.871457046
1,31,Undirected,31,,0.747139079
1,32,Undirected,32,,0.793785789
1,33,Undirected,33,,0.874185591
1,34,Undirected,34,,0.954188813
1,35,Undirected,35,,0.767204001
1,36,Undirected,36,,0.669848773
1,37,Undirected,37,,0.73317022
1,38,Undirected,38,,0.576196115
1,39,Undirected,39,,0.887096678
1,40,Undirected,40,,0.896628918
1,41,Undirected,41,,0.874822125
1,42,Undirected,42,,0.879564554
1,43,Undirected,43,,0.779104365
1,44,Undirected,44,,0.839978057
1,45,Undirected,45,,0.67742202
1,46,Undirected,46,,0.523011424
1,47,Undirected,47,,0.481666656
1,48,Undirected,48,,0.450442511
1,49,Undirected,49,,0.423223022
1,50,Undirected,50,,0.537233458
1,51,Undirected,51,,0.544484265
1,52,Undirected,52,,0.501888954
1,53,Undirected,53,,0.652523661
1,54,Undirected,54,,0.591097573
1,55,Undirected,55,,0.698878445
1,56,Undirected,56,,0.623294903
1,57,Undirected,57,,0.785991485
1,58,Undirected,58,,0.504734008
1,59,Undirected,59,,0.457261692
1,60,Undirected,60,,0.591225985
1,61,Undirected,61,,0.917900689
1,62,Undirected,62,,0.944829738
1,63,Undirected,63,,0.849372338
1,64,Undirected,64,,0.700187336
1,65,Undirected,65,,0.832001422
1,66,Undirected,66,,0.894513905
1,67,Undirected,67,,0.883996459
1,68,Undirected,68,,0.903706775
1,69,Undirected,69,,0.794067345
1,70,Undirected,70,,0.867760233
1,71,Undirected,71,,0.837480118
1,72,Undirected,72,,0.881370969
1,73,Undirected,73,,0.689521496
1,74,Undirected,74,,0.848071476
1,75,Undirected,75,,0.648770628
1,76,Undirected,76,,0.691957671
1,77,Undirected,77,,0.836499434
1,78,Undirected,78,,0.910022891
1,79,Undirected,79,,0.921718424
1,80,Undirected,80,,0.894679345
1,81,Undirected,81,,0.935248606
1,82,Undirected,82,,0.929984641
